status = E
*****************RX_Mode start******************************R
 82 73 56 45 C3 : 06 A3 63 5E BD 98 D5 51 8A A8 14 CD 1D AC D2 B5 37 6C CA F5 AA 55 55 51 87 F8 8B 50 F2 94 A9 5C 
 11 27 21 94 2A : 1A 95 51 03 00 7C FF C1 0F 55 55 72 26 91 3A B4 A5 55 7F FA AA AA AA AF AE FD 11 27 21 94 2A 02 
 82 73 56 45 C3 : 07 A3 50 6F BA B9 CB 5E AA 97 E3 41 A4 2E FD 0B 14 5A 44 CA 92 A2 EF 72 84 A2 85 55 45 2B 15 49 
 82 73 56 45 C3 : 07 A3 50 6F B9 2E E8 F3 76 99 46 FF B5 0B 5B 2F BD D5 89 4D 56 5A D6 AE 61 D1 17 5B 4A 96 8A 56 
 82 73 56 45 C3 : 07 A3 50 6F BC EC A5 32 0A 26 69 6A 94 80 AD 77 19 F9 81 90 09 52 B3 83 2C 42 5A F5 5F 55 4D 7D 
 11 27 21 94 2A : 1B 95 51 03 00 7C FF F1 7E B0 D9 6A EE BF B5 55 BB 6A 91 50 AA AA AA AA AD FC 44 9C 86 50 A8 0C 
 82 73 56 45 C3 : 04 A3 05 3C B6 65 C6 D5 2B 55 63 AF 2E CA D5 AA DF 66 55 63 F5 AD 57 26 52 A2 D5 6E A8 CE AB 5D 
 82 73 56 45 C3 : 04 A3 05 3C B6 AA A1 55 53 95 FD D7 3D 75 5D 74 85 DF AB C0 B8 A3 D5 2A 02 4C 12 E0 A8 55 9A 1D 
 11 27 21 94 2A : 18 95 51 03 00 7C FF A1 EC 53 D4 67 62 BD 4D D2 C5 55 75 EA AA AA AA AA BE FE 22 4E 43 28 54 00 
 82 73 56 45 C3 : 05 A3 36 0D B6 A0 7D BD BF 6A B9 38 94 AB 53 5A 8D 63 29 95 54 33 4C 93 D5 97 26 8A 8B 6B 4C A9 
 82 73 56 45 C3 : 05 A3 36 0D BB 76 AA A2 D3 67 34 BA 95 4F 2C 2A AB 2A A2 35 23 36 95 DA 15 99 A9 35 75 A9 2B 2A 
 11 27 21 94 2A : 19 95 51 03 00 7C FF 91 9D BA 9A 5D AB D5 24 D5 90 15 FF FD 55 55 55 55 F6 FE 22 4E 43 28 54 02 
 82 73 56 45 C3 : 06 A3 63 5E B4 22 A5 C5 55 36 31 D0 6F 6A B1 AE A6 B3 7A 96 DA 59 51 55 AA F6 55 F5 75 66 53 CA 
 82 73 56 45 C3 : 06 A3 63 5E B5 40 0D 2A 30 55 51 59 94 45 54 A1 4A 12 88 34 6A 6A C2 52 DC 5A AA B3 28 B6 93 4B 
 11 27 21 94 2A : 1A 95 51 03 00 7C FF C1 0F 56 D6 E6 B2 D8 AA BA 55 54 F5 EA AA AA AA AA AE D5 11 27 21 94 2A 02 
 82 73 56 45 C3 : 07 A3 50 6F BD 55 4A DE 3C 51 52 71 55 CA A9 6B 4B 6A BA A5 F6 B1 B7 49 D5 AB 4B 6D 4A AA A7 D7 
 82 73 56 45 C3 : 07 A3 50 6F B2 1B 17 4A 21 DA AD 62 52 51 AA E8 4A 40 02 2D C8 AD 42 89 35 44 AE 4D 41 13 F2 16 
 11 27 21 94 2A : 1B 95 51 03 00 7C FF F1 7E BA 22 AB 0B 57 AC 96 A5 57 7F FD 55 55 55 55 56 FE 22 4E 43 28 54 06 
 82 73 56 45 C3 : 04 A3 05 3C BD 52 D5 AA 80 6D 52 1A 55 45 54 65 95 66 B4 CE F5 56 98 7B 2A B5 4A 93 2A 55 5D 52 
 82 73 56 45 C3 : 04 A3 05 3C BB 7B D5 55 9B B8 3B 5A CD A0 AB B5 52 4B B5 FF 54 A9 2D DF 55 59 5E D7 B2 D6 B6 F9 
 11 27 21 94 2A : 18 95 51 03 00 7C FF A1 EC 5E B5 AA 85 26 44 B1 45 57 65 40 2A AA AA AE AE FE 22 4E 43 28 54 00 
 82 73 56 45 C3 : 05 A3 36 0D BD 3D 4F 52 56 5A 35 BA AA AB 35 7A 99 B4 8B 51 42 B5 A5 6A AA AB 68 94 AD 5A 6D AD 
 11 27 21 94 2A : 19 95 51 03 00 7C FF 91 9D B2 D1 49 61 58 74 05 55 55 55 EA AA AA AA AA AE FE 22 4E 43 28 54 02 
 82 73 56 45 C3 : 06 A3 63 5E BE B4 DA DA 2A A9 EE 85 C9 92 BB BD AA 2A A9 2A B5 91 57 55 5B 4A 92 6F 6E AC E7 6D 
 82 73 56 45 C3 : 06 A3 63 5E B5 99 7A 1A 26 85 3A FD E3 8D D7 24 57 A5 57 A9 27 AA D1 0A 92 91 95 5A 69 59 3E 29 
 82 73 56 45 C3 : 06 A3 63 5E B6 EB 2F E9 55 48 AB 6D 95 5C D4 95 D0 6F CA CD AA 33 56 A8 95 25 52 3B 25 A6 D4 CD 
 11 27 21 94 2A : 1A 95 51 03 00 7C FF C1 0F 53 06 4E 8A A7 E4 A5 50 55 57 FF 55 55 55 55 56 FE 22 4E 43 28 54 04 
